Granting Agency,Company,Title,Start,End,Total
Industrial Research,The Stoody Company,Wear Protective Overlays for Oil Sands Applications,2012-04-01,2014-09-01,25000
Productivity Alberta,,Productivity Improvement Fund,2013-10-01,2014-09-01,45000
Industrial Research,The Stoody Company,Wear Protective Overlays for Oil Sands Applications,2012-09-01,2014-08-01,30000
NSERC USRA,,Non-equilibrium isues in PTAW of Fe-Cr-C ternaries,2014-05-01,2014-08-01,4500
Government of Alberta,,Operating funds for Alberta Metal Fabrication Innovation (AMFI) Program – Round 2,2013-04-01,2014-03-01,20000
NSERC Engage,Weld Management Solutions Inc.,Real-time monitoring of weld quality in flash-butt welding (PI Vinay Prasad),2013-05-01,2014-01-01,24500
MITACS Accelerate,CASTI,Systematic catalog of welding defects,2012-09-01,2013-12-01,22000
NSERC CRD,Syncrude,Heat and Mass Transfer Phenomena in the Application of Wire-Based Nickel/Tungsten Carbide Overlays,2010-04-01,2013-08-01,143000
UofA ISWSP,,Modeling of heat transfer in welding,2013-05-01,2013-08-01,4000
NSERC USRA,,Torch Instrumentation in manual welding,2013-05-01,2013-08-01,4500
Government of Alberta,,Operating funds for Alberta Metal Fabrication Innovation (AMFI) Program,2011-04-01,2013-03-01,210000
NSERC CRD,Hitachi Canada Industries,Deposition of abrasion-resistant Ni-WC metal matrix composites using Hot Wire TIG Welding,2012-06-01,2013-01-01,100000
NSERC CRD*,Syncrude,Mitigation of Embrittlement in Aged Stainless Steels (PI Adrian Gerlich),2010-04-01,2012-06-01,125960
Government of Alberta,,University/Industry Network for Welding and Joining,2009-05-01,2011-04-01,95000
NSERC Engage,H.C. Starck Canada Inc.,Development of Wire Consumables for Overlay Deposition by Hot-wire TIG Welding (PI Adrian Gerlich),2010-10-01,2011-03-01,20950
Industrial Research,Hobart Brothers,Structure-Property Relationships in Advanced High Strength Steel Welds (PI Adrian Gerlich),2009-10-01,2010-03-01,19134
Service Projects,Various,Industry Service Projects,,,105496
